#Time  DISPLACEMENT_X  DISPLACEMENT_Y  DISPLACEMENT_Z  ELASTIC_FORCES_X  ELASTIC_FORCES_Y  ELASTIC_FORCES_Z  TOTAL_FORCES_X  TOTAL_FORCES_Y  TOTAL_FORCES_Z  VELOCITY_X  VELOCITY_Y  VELOCITY_Z  ANGULAR_VELOCITY_X  ANGULAR_VELOCITY_Y  ANGULAR_VELOCITY_Z  PARTICLE_MOMENT_X  PARTICLE_MOMENT_Y  PARTICLE_MOMENT_Z
2.3999999999999986e-06  0.0  1.2000000000000004e-05  -1.2000000000000004e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
2.4999999999999985e-06  0.0  1.2500000000000004e-05  -1.2500000000000004e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
2.5999999999999984e-06  0.0  1.3000000000000004e-05  -1.3000000000000004e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
2.6999999999999983e-06  0.0  1.3500000000000005e-05  -1.3500000000000005e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
2.799999999999998e-06  0.0  1.4000000000000005e-05  -1.4000000000000005e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
2.899999999999998e-06  0.0  1.4500000000000005e-05  -1.4500000000000005e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
2.999999999999998e-06  0.0  1.5000000000000005e-05  -1.5000000000000005e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.099999999999998e-06  0.0  1.5500000000000004e-05  -1.5500000000000004e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.1999999999999977e-06  0.0  1.6000000000000003e-05  -1.6000000000000003e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.2999999999999976e-06  0.0  1.65e-05  -1.65e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.3999999999999975e-06  0.0  1.7e-05  -1.7e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.4999999999999974e-06  0.0  1.75e-05  -1.75e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.5999999999999973e-06  0.0  1.7999999999999997e-05  -1.7999999999999997e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.699999999999997e-06  0.0  1.8499999999999996e-05  -1.8499999999999996e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.799999999999997e-06  0.0  1.8999999999999994e-05  -1.8999999999999994e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.899999999999997e-06  0.0  1.9499999999999993e-05  -1.9499999999999993e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
3.999999999999997e-06  0.0  1.999999999999999e-05  -1.999999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.099999999999997e-06  0.0  2.049999999999999e-05  -2.049999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.199999999999997e-06  0.0  2.099999999999999e-05  -2.099999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.299999999999997e-06  0.0  2.1499999999999987e-05  -2.1499999999999987e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.399999999999997e-06  0.0  2.1999999999999986e-05  -2.1999999999999986e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.499999999999997e-06  0.0  2.2499999999999984e-05  -2.2499999999999984e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.599999999999997e-06  0.0  2.2999999999999983e-05  -2.2999999999999983e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.6999999999999965e-06  0.0  2.349999999999998e-05  -2.349999999999998e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.799999999999996e-06  0.0  2.399999999999998e-05  -2.399999999999998e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.899999999999996e-06  0.0  2.449999999999998e-05  -2.449999999999998e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
4.999999999999996e-06  0.0  2.4999999999999977e-05  -2.4999999999999977e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.099999999999996e-06  0.0  2.5499999999999976e-05  -2.5499999999999976e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.199999999999996e-06  0.0  2.5999999999999975e-05  -2.5999999999999975e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.299999999999996e-06  0.0  2.6499999999999973e-05  -2.6499999999999973e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.399999999999996e-06  0.0  2.6999999999999972e-05  -2.6999999999999972e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.499999999999996e-06  0.0  2.749999999999997e-05  -2.749999999999997e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.5999999999999955e-06  0.0  2.799999999999997e-05  -2.799999999999997e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.699999999999995e-06  0.0  2.8499999999999968e-05  -2.8499999999999968e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.799999999999995e-06  0.0  2.8999999999999966e-05  -2.8999999999999966e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.899999999999995e-06  0.0  2.9499999999999965e-05  -2.9499999999999965e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
5.999999999999995e-06  0.0  2.9999999999999963e-05  -2.9999999999999963e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.099999999999995e-06  0.0  3.0499999999999962e-05  -3.0499999999999962e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.199999999999995e-06  0.0  3.099999999999996e-05  -3.099999999999996e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.299999999999995e-06  0.0  3.149999999999996e-05  -3.149999999999996e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.399999999999995e-06  0.0  3.199999999999996e-05  -3.199999999999996e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.4999999999999945e-06  0.0  3.2499999999999956e-05  -3.2499999999999956e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.599999999999994e-06  0.0  3.2999999999999955e-05  -3.2999999999999955e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.699999999999994e-06  0.0  3.3499999999999954e-05  -3.3499999999999954e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.799999999999994e-06  0.0  3.399999999999995e-05  -3.399999999999995e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.899999999999994e-06  0.0  3.449999999999995e-05  -3.449999999999995e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
6.999999999999994e-06  0.0  3.499999999999995e-05  -3.499999999999995e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.099999999999994e-06  0.0  3.549999999999995e-05  -3.549999999999995e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.199999999999994e-06  0.0  3.599999999999995e-05  -3.599999999999995e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.299999999999994e-06  0.0  3.6499999999999945e-05  -3.6499999999999945e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.3999999999999935e-06  0.0  3.6999999999999944e-05  -3.6999999999999944e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.499999999999993e-06  0.0  3.749999999999994e-05  -3.749999999999994e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.599999999999993e-06  0.0  3.799999999999994e-05  -3.799999999999994e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.699999999999994e-06  0.0  3.849999999999994e-05  -3.849999999999994e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.799999999999995e-06  0.0  3.899999999999994e-05  -3.899999999999994e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.899999999999996e-06  0.0  3.949999999999994e-05  -3.949999999999994e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
7.999999999999996e-06  0.0  3.9999999999999936e-05  -3.9999999999999936e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.099999999999997e-06  0.0  4.0499999999999934e-05  -4.0499999999999934e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.199999999999998e-06  0.0  4.099999999999993e-05  -4.099999999999993e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.299999999999998e-06  0.0  4.149999999999993e-05  -4.149999999999993e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.4e-06  0.0  4.199999999999993e-05  -4.199999999999993e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.5e-06  0.0  4.249999999999993e-05  -4.249999999999993e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.6e-06  0.0  4.299999999999993e-05  -4.299999999999993e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.700000000000001e-06  0.0  4.3499999999999926e-05  -4.3499999999999926e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.800000000000002e-06  0.0  4.3999999999999924e-05  -4.3999999999999924e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
8.900000000000003e-06  0.0  4.449999999999992e-05  -4.449999999999992e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.000000000000004e-06  0.0  4.499999999999992e-05  -4.499999999999992e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.100000000000004e-06  0.0  4.549999999999992e-05  -4.549999999999992e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.200000000000005e-06  0.0  4.599999999999992e-05  -4.599999999999992e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.300000000000006e-06  0.0  4.649999999999992e-05  -4.649999999999992e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.400000000000007e-06  0.0  4.6999999999999916e-05  -4.6999999999999916e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.500000000000007e-06  0.0  4.7499999999999915e-05  -4.7499999999999915e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.600000000000008e-06  0.0  4.799999999999991e-05  -4.799999999999991e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.700000000000009e-06  0.0  4.849999999999991e-05  -4.849999999999991e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.80000000000001e-06  0.0  4.899999999999991e-05  -4.899999999999991e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
9.90000000000001e-06  0.0  4.949999999999991e-05  -4.949999999999991e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0000000000000011e-05  0.0  4.999999999999991e-05  -4.999999999999991e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0100000000000012e-05  0.0  5.0499999999999906e-05  -5.0499999999999906e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0200000000000012e-05  0.0  5.0999999999999905e-05  -5.0999999999999905e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0300000000000013e-05  0.0  5.14999999999999e-05  -5.14999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0400000000000014e-05  0.0  5.19999999999999e-05  -5.19999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0500000000000015e-05  0.0  5.24999999999999e-05  -5.24999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0600000000000015e-05  0.0  5.29999999999999e-05  -5.29999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0700000000000016e-05  0.0  5.34999999999999e-05  -5.34999999999999e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0800000000000017e-05  0.0  5.3999999999999896e-05  -5.3999999999999896e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.0900000000000018e-05  0.0  5.4499999999999895e-05  -5.4499999999999895e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1000000000000018e-05  0.0  5.4999999999999894e-05  -5.4999999999999894e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1100000000000019e-05  0.0  5.549999999999989e-05  -5.549999999999989e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.120000000000002e-05  0.0  5.599999999999989e-05  -5.599999999999989e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.130000000000002e-05  0.0  5.649999999999989e-05  -5.649999999999989e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1400000000000021e-05  0.0  5.699999999999989e-05  -5.699999999999989e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1500000000000022e-05  0.0  5.7499999999999887e-05  -5.7499999999999887e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1600000000000023e-05  0.0  5.7999999999999885e-05  -5.7999999999999885e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1700000000000024e-05  0.0  5.8499999999999884e-05  -5.8499999999999884e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1800000000000024e-05  0.0  5.899999999999988e-05  -5.899999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.1900000000000025e-05  0.0  5.949999999999988e-05  -5.949999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2000000000000026e-05  0.0  5.999999999999988e-05  -5.999999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2100000000000026e-05  0.0  6.049999999999988e-05  -6.049999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2200000000000027e-05  0.0  6.099999999999988e-05  -6.099999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2300000000000028e-05  0.0  6.149999999999988e-05  -6.149999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2400000000000029e-05  0.0  6.199999999999988e-05  -6.199999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.250000000000003e-05  0.0  6.249999999999988e-05  -6.249999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.260000000000003e-05  0.0  6.299999999999988e-05  -6.299999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2700000000000031e-05  0.0  6.349999999999988e-05  -6.349999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2800000000000032e-05  0.0  6.399999999999988e-05  -6.399999999999988e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.2900000000000032e-05  0.0  6.449999999999987e-05  -6.449999999999987e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
1.3000000000000033e-05  0.0  6.499999999999987e-05  -6.499999999999987e-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.999999999999999  -5.0  0.0  0.0  0.0  0.0  0.0  0.0
